,apartmentType,Borough,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
0,Manhattan,One bedroom,3075.0,3079.94,3054.43,3093.01,3127.09,3103.56,3054.76,3073.89,3078.33,3064.93,3081.97,3134.7,3097.67,3119.04,3142.79,3171.35,3187.19,3225.23,3203.94,3250.25,3235.29,3218.06,3158.56,3175.17,3160.46,3202.9,3249.54,3258.21,3237.92,3235.62,3244.26,3198.15,3206.81,3220.34,3177.07,3139.53,3137.38,3151.04,3155.85,3169.68,3174.72,3160.68,3172.24,3184.77,3135.67,3107.82,3082.56,3102.22,3103.44,3118.18,3121.96,3126.64,3130.35,3160.84,3193.78,3189.93,3208.26,3212.89,3204.12,3225.35,3238.78,3248.61,3278.11,3324.15,3317.53,3336.94,3358.56,3344.4,3367.65,3372.03,3368.72,3402.32,3376.12,3439.36,3395.03,3295.24,3164.75,3074.46,2984.17,2909.78,2873.76,2843.28,2789.21,2791.56,2787.2,2879.56,2883.33,2957.39,3041.24,3150.12,3243.82,3306.94,3412.6,3555.28,3639.31,3725.89,3767.54,3834.17,3894.37,3928.89,3943.39,3941.26,4008.88,3931.56,3925.9,3893.04,3882.83,3853.13,3905.6,3985.69,3971.4,4023.14,4093.39,4086.78,4035.6,4032.25,3979.39,3884.81,3857.92,3933.47,4047.58,4079.35,4135.0,4141.03,4175.64,4112.0,4096.56,4065.17,4046.56,4056.86,4071.79,4143.15,4204.17,4256.83,4283.44,4364.83,4454.01,4470.85,4516.99,4442.81,4386.88,4430.32,4443.38,4473.64
1,Queens,One bedroom,1689.88,1743.47,1750.0,1743.47,1745.59,1767.86,1753.19,1792.09,1768.38,1777.64,1739.47,1721.74,1780.5,1769.62,1737.02,1731.85,1761.55,1748.5,1765.41,1789.02,1795.45,1743.41,1730.56,1783.81,1780.72,1831.98,1802.39,1859.18,1869.08,1856.38,1865.59,1863.52,1869.67,1844.89,1850.11,1838.87,1818.9,1819.2,1829.91,1858.81,1851.43,1832.35,1830.21,1897.02,1869.71,1823.43,1814.25,1827.26,1826.89,1818.48,1855.95,1840.5,1823.88,1871.29,1883.55,1892.68,1883.31,1850.89,1844.46,1845.33,1881.82,1891.67,1887.07,1893.5,1896.5,1898.34,1918.83,1905.35,1922.46,1915.58,1926.26,1916.75,1879.11,1941.24,1975.28,1952.32,1927.22,1899.96,1869.96,1860.48,1860.74,1852.48,1855.77,1850.04,1834.31,1835.17,1804.52,1830.12,1861.52,1876.72,1887.78,1904.7,1958.37,1956.08,1969.64,1996.67,1985.81,1990.04,2004.81,2036.78,2104.4,2140.85,2182.0,2219.93,2208.39,2216.02,2199.57,2197.31,2158.91,2199.23,2190.41,2255.65,2298.79,2338.23,2362.25,2360.1,2428.2,2376.58,2382.15,2415.0,2414.76,2356.33,2406.74,2471.77,2481.71,2541.19,2513.18,2481.12,2472.64,2480.9,2447.42,2451.2,2431.32,2476.04,2502.11,2487.07,2542.06,2633.06,2641.88,2623.56,2599.39,2612.71,2617.73,2648.74
2,Brooklyn,One bedroom,1998.74,2032.57,2050.59,2089.89,2153.32,2171.1,2102.9,2127.21,2088.31,2062.43,2069.05,2039.1,2019.21,2071.44,2068.13,2086.86,2080.32,2093.98,2107.68,2119.76,2134.74,2106.85,2115.0,2126.81,2127.65,2124.99,2124.56,2136.12,2145.82,2175.64,2175.04,2189.31,2209.15,2158.3,2139.26,2145.75,2146.46,2132.2,2112.62,2131.44,2150.03,2142.1,2133.04,2164.66,2185.25,2169.38,2156.44,2151.99,2153.3,2146.65,2156.9,2159.92,2187.79,2203.44,2242.89,2215.61,2198.2,2193.26,2182.66,2233.77,2206.5,2242.8,2230.72,2241.93,2279.33,2313.51,2300.69,2318.82,2334.31,2326.86,2343.78,2337.83,2394.11,2407.42,2462.39,2426.71,2373.48,2306.99,2247.1,2207.38,2140.56,2118.49,2107.27,2097.64,2087.64,2076.81,2099.67,2138.77,2179.48,2207.37,2261.91,2316.31,2380.94,2361.0,2395.02,2412.88,2486.72,2530.94,2552.45,2641.49,2718.22,2794.56,2839.3,2860.53,2799.7,2785.1,2756.6,2800.12,2858.39,2906.29,2928.02,2962.5,3008.15,2950.76,2965.48,2963.61,3015.17,2948.51,2955.25,2918.44,2943.43,2996.93,3023.98,3098.1,3131.83,3071.08,3120.69,3118.27,3133.45,3077.01,3059.89,3152.19,3115.98,3139.01,3098.67,3225.65,3240.06,3367.32,3338.79,3391.18,3357.93,3315.09,3245.23,3316.77
3,Bronx,One bedroom,1343.75,1309.2,1400.5,1349.25,1387.3,1586.25,1366.61,1335.28,1361.67,1351.95,1361.0,1348.88,1380.54,1395.91,1403.04,1424.63,1372.75,1374.08,1336.77,1354.0,1373.33,1357.71,1392.78,1398.96,1435.0,1437.5,1411.62,1431.79,1440.21,1493.82,1492.4,1503.83,1473.96,1467.54,1465.83,1456.33,1492.43,1468.93,1482.04,1520.5,1539.0,1535.67,1534.93,1574.86,1577.05,1562.86,1567.83,1578.0,1596.12,1594.44,1569.25,1581.19,1584.15,1585.55,1615.83,1625.79,1665.83,1607.32,1622.31,1593.08,1604.12,1617.55,1654.75,1680.27,1657.85,1672.62,1649.91,1670.81,1699.54,1685.54,1699.41,1712.7,1753.45,1740.08,1820.58,1777.5,1736.94,1725.5,1753.85,1747.08,1747.59,1736.77,1732.88,1683.31,1697.45,1690.45,1723.25,1781.28,1831.57,1754.18,1743.07,1749.15,1742.54,1728.65,1758.8,1776.0,1738.12,1750.42,1795.54,1859.55,1843.95,1820.38,1845.92,1875.3,1925.0,1839.04,1836.38,1801.54,1853.71,1931.0,1920.27,1955.09,1961.67,2105.65,2058.15,2058.41,2183.5,2075.0,2109.32,2060.33,2082.36,2067.9,2058.45,2098.92,2249.18,2190.64,2238.39,2193.06,2186.0,2229.56,2233.83,2300.21,2297.57,2230.0,2206.75,2377.05,2340.5,2409.69,2376.83,2409.0,2521.44,2460.56,2383.4,2379.93
4,New York City,One bedroom,2850.0,2850.0,2850.0,2900.0,2900.0,2850.0,2750.0,2750.0,2700.0,2687.5,2650.0,2700.0,2750.0,2750.0,2750.0,2775.0,2750.0,2795.0,2795.0,2800.0,2795.0,2750.0,2700.0,2750.0,2800.0,2800.0,2800.0,2825.0,2850.0,2842.0,2800.0,2790.0,2750.0,2745.0,2695.0,2700.0,2650.0,2600.0,2600.0,2601.5,2600.0,2600.0,2592.5,2700.0,2695.0,2645.0,2580.0,2595.0,2570.0,2550.0,2595.0,2600.0,2599.0,2600.0,2600.0,2600.0,2550.0,2500.0,2495.0,2495.0,2500.0,2550.0,2595.0,2650.0,2650.0,2695.0,2695.0,2700.0,2725.0,2723.0,2700.0,2708.0,2800.0,2850.0,2850.0,2900.0,2788.0,2700.0,2650.0,2500.0,2499.0,2400.0,2400.0,2395.0,2350.0,2395.0,2350.0,2395.0,2400.0,2412.0,2460.5,2495.0,2500.0,2450.0,2465.0,2500.0,2650.0,2749.0,2800.0,3000.0,3100.0,3200.0,3250.0,3250.0,3265.0,3250.0,3200.0,3219.0,3300.0,3350.0,3400.0,3503.0,3500.0,3500.0,3495.0,3495.0,3425.0,3359.0,3295.0,3350.0,3350.0,3400.0,3450.0,3500.0,3500.0,3495.0,3500.0,3500.0,3425.0,3369.0,3350.0,3350.0,3450.0,3500.0,3500.0,3650.0,3659.0,3795.0,3850.0,3800.0,3700.0,3700.0,3695.0,3700.0
5,Staten Island,One bedroom,1150.0,1160.0,,,1250.0,1150.0,1175.0,,1200.0,1200.0,1200.0,,1200.0,1200.0,1250.0,1295.0,1250.0,1370.0,1500.0,1934.5,1684.5,1395.0,1405.0,1395.0,,1500.0,1695.0,2140.0,2300.0,2140.0,2140.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1600.0,1500.0,1500.0,1500.0,1500.0,1500.0,1745.0,1395.0,1550.0,1600.0,1600.0,1600.0,1600.0,1600.0,1512.5,1500.0,1695.0,1928.5,1550.0,1790.0,1450.0,1600.0,1550.0,1450.0,1595.0,1600.0,1600.0,1600.0,2275.0,1847.5,1699.0,1797.5,2120.0,2154.0,1990.0,1795.0,1735.0,1699.0,,1575.0,,1450.0,1637.0,,1600.0,1500.0,,1700.0,1650.0,1700.0,1697.5,1600.0,1600.0,1600.0,1600.0,1624.0,1500.0,1450.0,1500.0,1450.0,1400.0,1525.0,1525.0,1500.0,1600.0,1590.0,1600.0,1600.0,1500.0,1650.0,1725.0,1650.0,1695.0,1750.0,1700.0,1600.0,1645.0,1795.0,1800.0,1875.0,1753.0,1650.0,1600.0,1600.0,1650.0,,,2295.0,,1740.0,2000.0,1900.0,2350.0,2700.0,1862.5,1800.0,2500.0,3135.0,3125.0,2850.0,3125.0,2799.0,3125.0,2800.0,3010.0,3310.0,2800.0
6,Manhattan,Two bedrooms,4464.68,4422.11,4526.88,4500.17,4512.36,4501.51,4342.46,4348.72,4399.0,4447.85,4478.97,4419.92,4494.28,4567.94,4622.47,4586.76,4614.78,4539.53,4451.21,4610.92,4678.14,4625.67,4599.19,4645.21,4675.75,4646.92,4622.97,4682.26,4584.43,4577.69,4530.25,4535.32,4511.25,4497.54,4456.85,4543.14,4521.62,4593.83,4489.69,4473.42,4458.22,4409.21,4395.99,4295.28,4442.7,4376.29,4350.61,4456.3,4394.75,4464.06,4473.53,4467.64,4466.12,4316.54,4341.18,4372.83,4423.18,4447.14,4508.92,4537.29,4625.81,4604.44,4430.38,4431.44,4490.93,4488.9,4530.14,4594.67,4689.15,4765.59,4834.61,4911.37,4948.8,4916.4,4829.1,4715.6,4414.81,4239.72,4112.71,3989.46,3957.1,3965.0,3971.28,4038.67,4033.39,4036.32,4026.25,4050.94,4149.43,4349.01,4435.67,4716.47,4922.03,5052.38,5119.12,5188.89,5026.59,5272.74,5295.68,5406.54,5429.14,5429.92,5498.5,5671.82,5799.33,5725.79,5770.76,5688.43,5599.85,5801.69,5700.97,5732.94,5544.28,5539.24,5398.03,5539.68,5671.54,5695.29,5677.26,5628.85,5655.72,5732.08,5769.67,5734.12,5553.15,5587.62,5523.74,5572.96,5726.97,5791.53,5782.89,5918.15,5950.65,6090.31,6073.83,5947.64,5959.08,6153.61,6253.01,6171.31,6157.46,6157.92,6273.68,6399.13
7,Queens,Two bedrooms,2098.66,2104.47,2155.78,2125.45,2128.4,2177.15,2281.44,2339.82,2218.79,2224.85,2274.56,2240.0,2208.36,2252.78,2144.52,2212.75,2184.89,2180.95,2184.83,2187.6,2200.66,2253.12,2252.76,2246.26,2244.1,2254.86,2278.38,2256.07,2303.22,2324.43,2281.85,2315.34,2286.98,2235.1,2236.46,2268.35,2252.6,2277.06,2249.65,2290.07,2272.52,2280.75,2303.75,2284.26,2250.11,2217.25,2200.04,2222.98,2269.54,2210.0,2253.89,2255.41,2262.07,2307.77,2251.35,2307.15,2299.68,2280.93,2253.58,2243.17,2263.25,2251.63,2274.74,2298.66,2315.76,2361.8,2316.21,2370.26,2362.52,2362.52,2298.4,2349.43,2335.96,2389.56,2390.75,2447.31,2382.91,2357.33,2373.6,2339.54,2291.48,2267.63,2261.7,2248.5,2264.58,2295.33,2272.72,2308.56,2330.96,2336.52,2370.26,2457.54,2464.02,2460.29,2451.69,2464.83,2459.0,2505.67,2532.07,2605.02,2657.82,2716.44,2709.88,2759.8,2798.26,2787.38,2697.67,2691.59,2728.07,2783.4,2800.23,2861.78,2936.89,2947.38,2927.7,2920.73,2957.04,3025.91,2991.22,2958.38,2970.7,3022.32,3079.94,3155.04,3070.06,3103.73,3154.48,3111.21,3073.18,3000.93,3056.46,3174.98,3055.14,3097.45,3055.9,3140.36,3149.52,3207.85,3290.11,3253.23,3191.52,3301.78,3202.48,3230.87
8,Brooklyn,Two bedrooms,2579.22,2614.65,2603.14,2645.66,2637.45,2638.02,2631.6,2589.07,2559.96,2604.82,2628.16,2546.49,2545.9,2533.15,2567.55,2584.53,2571.91,2599.11,2629.91,2645.49,2651.1,2582.39,2594.82,2571.23,2597.81,2600.36,2611.1,2645.62,2671.5,2644.56,2668.84,2673.99,2626.66,2593.22,2569.1,2598.03,2622.05,2597.33,2550.42,2595.88,2627.16,2622.99,2655.82,2718.77,2661.42,2621.33,2566.88,2611.92,2592.98,2611.62,2602.68,2629.61,2660.1,2719.22,2756.14,2741.42,2727.8,2653.3,2650.6,2655.58,2713.19,2709.07,2760.02,2803.17,2787.73,2825.81,2865.69,2920.28,2888.83,2921.07,2859.76,2935.44,2958.14,2932.49,2987.11,3049.72,2895.36,2796.59,2763.06,2721.14,2629.43,2617.43,2583.52,2530.95,2523.85,2544.74,2578.21,2574.9,2614.8,2737.86,2779.93,2877.35,2926.89,2908.82,2969.6,3019.0,2994.97,3139.89,3211.6,3296.65,3456.9,3533.56,3552.66,3641.3,3597.48,3596.17,3558.98,3546.9,3535.27,3573.12,3627.15,3657.51,3703.99,3646.15,3693.49,3707.91,3810.24,3733.91,3619.5,3719.93,3716.51,3766.02,3776.16,3779.42,3839.53,3864.1,3835.99,3832.67,3783.51,3838.8,3841.57,3841.26,3949.54,4069.18,3983.76,3961.93,4069.0,4180.81,4235.33,4205.9,4207.1,4194.0,4153.82,4201.4
9,Bronx,Two bedrooms,1875.0,2000.0,2049.5,2025.0,2037.5,2055.0,1856.67,1783.25,1734.58,1629.29,1740.5,1687.14,1738.9,1709.58,1750.58,1801.75,1715.83,1739.3,1739.45,1763.95,1723.15,1742.19,1809.06,1836.28,1871.94,1857.14,1816.39,1796.25,1870.42,1817.5,1853.0,1874.0,1879.68,1896.2,1873.7,1843.62,1789.75,1785.0,1886.5,1887.5,1906.17,1865.45,1900.85,1960.62,1988.78,1929.94,1951.44,1941.14,1885.75,1923.0,1974.94,2007.69,2049.38,2031.25,1993.75,1927.8,1998.75,1933.95,1911.68,1899.15,1949.0,2058.22,2102.81,2000.06,1970.32,1992.42,2025.27,2039.83,2023.08,2044.65,2091.06,2058.69,2077.0,2198.0,2182.64,2386.0,2296.38,2174.5,2123.31,2109.2,2167.07,2257.2,2235.75,2230.07,2149.69,2185.14,2175.0,2197.79,2181.88,2095.18,2216.19,2191.83,2231.88,2207.33,2334.57,2258.29,2275.71,2352.5,2348.75,2404.08,2410.43,2370.4,2258.88,2395.72,2331.75,2398.69,2424.17,2396.39,2492.0,2515.36,2395.61,2553.14,2666.25,2725.0,2886.9,2784.75,2838.8,2781.83,2809.0,2937.5,2756.71,2826.17,2846.2,3005.62,2887.0,3080.8,2872.43,3136.2,3084.5,3114.12,2952.5,2963.5,2964.0,2793.06,3031.19,3381.08,3307.07,3263.64,3561.42,3536.1,3357.0,3243.92,3220.0,3291.0
10,New York City,Two bedrooms,3400.0,3400.0,3400.0,3468.0,3395.0,3300.0,3200.0,3140.5,3100.0,3050.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3075.0,3000.0,3050.0,2995.0,2950.0,3000.0,3000.0,3095.0,3100.0,3116.0,3150.0,3100.0,3100.0,3099.0,3045.0,3000.0,2979.0,2950.0,2850.0,2800.0,2800.0,2800.0,2850.0,2850.0,2850.0,2999.0,2950.0,2900.0,2799.0,2800.0,2800.0,2795.0,2795.0,2800.0,2895.0,2900.0,2900.0,2895.0,2850.0,2750.0,2700.0,2700.0,2700.0,2749.0,2750.0,2850.0,2900.0,2995.0,3000.0,3000.0,3050.0,3100.0,3046.0,3099.5,3100.0,3000.0,3000.0,3200.0,3100.0,3000.0,2995.0,2890.0,2795.0,2722.0,2700.0,2695.0,2600.0,2600.0,2587.0,2595.0,2599.0,2637.0,2745.0,2800.0,2800.0,2775.0,2800.0,2850.0,2900.0,2995.0,3071.5,3300.0,3500.0,3799.0,3850.0,3800.0,3800.0,3800.0,3700.0,3700.0,3750.0,3700.0,3739.5,3925.0,3995.0,3995.0,4000.0,4000.0,4000.0,3931.0,3800.0,3800.0,3800.0,3899.0,3925.0,4000.0,4000.0,4000.0,4000.0,4000.0,3999.0,3995.0,3889.0,3899.0,3922.5,3995.0,4000.0,4195.0,4250.0,4395.0,4500.0,4500.0,4500.0,4450.0,4350.0,4400.0
11,Staten Island,Two bedrooms,1350.0,1475.0,1800.0,1605.0,1500.0,1500.0,1500.0,1695.0,1650.0,1700.0,1725.0,1447.5,1500.0,1500.0,1500.0,1500.0,1500.0,1575.0,1650.0,1700.0,1650.0,1675.0,1750.0,1875.0,1800.0,1800.0,1725.0,1802.5,1750.0,1700.0,1827.5,1950.0,1750.0,1825.0,1850.0,1850.0,1950.0,1850.0,1800.0,1725.0,1900.0,1950.0,1900.0,1900.0,1950.0,2025.0,2100.0,2100.0,1975.0,1862.5,1900.0,1825.0,1900.0,1875.0,2100.0,2150.0,2200.0,1987.5,1850.0,1865.0,1825.0,1825.0,1837.5,1999.0,2200.0,2300.0,2250.0,2500.0,2500.0,2400.0,2300.0,2025.0,2050.0,2072.5,2241.5,,,2400.0,2212.0,2000.0,2000.0,2050.0,2100.0,2200.0,2200.0,2150.0,2100.0,2000.0,1900.0,2000.0,2050.0,2000.0,2050.0,2112.5,2075.0,2050.0,2060.0,1980.0,2025.0,2000.0,2000.0,2000.0,2050.0,2062.5,2250.0,2195.0,2100.0,2100.0,2100.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2425.0,2175.0,2375.0,2250.0,2500.0,2625.0,2625.0,2450.0,,2762.0,,2500.0,2700.0,2700.0,2499.0,2400.0,2361.0,2250.0,2750.0,3000.0,2867.5,2700.0,3300.0,3300.0,3875.0,3880.0,3525.0,3950.0,3810.0
12,Manhattan,Three plus bedrooms,6763.55,7117.47,7118.19,6803.08,7139.12,7292.08,7047.05,7044.11,7442.55,7281.41,7325.97,7424.97,7418.06,7521.88,7200.77,7180.73,6628.53,6749.25,6345.35,6759.97,7315.21,7482.09,7738.23,7638.81,7530.99,7480.83,7715.29,7594.29,7103.11,7197.32,6883.63,6901.64,6920.49,7383.21,7494.21,7582.53,7470.94,7529.94,7102.6,6971.51,6771.22,6744.13,6638.33,6234.36,6589.61,7003.71,6644.11,6834.59,6920.94,6978.94,6851.32,6480.82,6507.49,6164.67,6005.37,6125.63,6458.29,6596.5,7066.06,6877.67,7010.45,7138.76,6816.6,6530.29,6610.47,6637.6,6567.49,6636.32,7029.08,7350.95,7663.8,7944.4,8208.79,8421.95,8234.61,6872.48,6461.56,6330.99,6037.82,5803.0,5777.44,5876.51,5917.71,5994.6,6046.7,6285.93,6195.53,6280.12,6450.71,6487.67,6616.81,6906.31,7159.33,7029.9,6893.77,7367.38,7154.7,6873.67,7500.33,7525.74,7552.76,7411.97,8045.29,8259.03,8852.5,8214.75,9054.58,8992.15,9093.79,9304.63,9070.35,9218.21,8552.06,8179.79,7998.63,8315.71,8553.36,8671.82,8722.84,8640.37,8572.94,8661.98,8918.82,8809.68,8875.51,8765.17,8337.87,8207.23,8664.16,8600.97,9299.8,9165.18,9357.41,9501.39,8591.61,7996.55,8167.64,8780.7,8874.25,8920.85,9322.86,9687.71,9870.12,10338.68
13,Queens,Three plus bedrooms,2797.77,2961.56,2816.35,2825.0,2831.45,2926.25,3010.0,2744.14,2740.36,2651.07,2563.63,2543.65,2540.13,2676.43,2567.03,2572.19,2725.11,2621.1,2738.0,2940.5,3002.14,2828.09,2891.93,2881.0,2947.04,2941.8,2900.74,2891.11,2839.05,2887.63,2889.97,2948.53,2912.56,2853.11,2763.93,2913.33,2806.71,2769.93,2738.71,2808.07,2785.29,2768.42,2832.83,2980.78,2928.31,2865.21,2795.83,2918.7,2870.53,2795.93,2830.82,2934.5,2875.12,2848.48,2927.69,2877.9,2852.79,2789.67,2707.43,2746.59,2771.98,2804.68,2820.11,2837.32,2852.57,2894.57,2903.6,2886.77,2849.85,2870.0,2837.7,2868.12,2923.32,2918.6,2958.0,2981.03,2840.74,2887.5,2868.29,2861.52,2817.5,2776.71,2714.17,2761.14,2749.32,2833.76,2740.8,2744.02,2974.28,2852.38,2939.24,2944.6,3057.5,2987.1,3077.11,3126.58,3108.41,3179.75,3114.0,3136.92,3186.15,3437.48,3366.25,3380.52,3297.96,3352.02,3334.2,3342.0,3361.29,3295.35,3276.06,3332.04,3443.09,3626.39,3490.88,3459.56,3551.07,3551.27,3515.27,3617.82,3618.16,3703.4,3647.05,3712.0,3839.66,3821.45,3809.14,3806.71,3745.55,3650.71,3588.58,3646.29,3647.62,3742.74,3766.25,3817.61,3909.75,3932.39,3973.88,4059.66,3923.84,3693.52,3777.25,3992.28
14,Brooklyn,Three plus bedrooms,3426.54,3552.02,3487.04,3652.02,3665.34,3752.76,3617.77,3683.36,3381.05,3417.77,3432.69,3316.77,3206.1,3310.39,3375.72,3376.74,3474.89,3462.04,3388.96,3380.0,3415.73,3302.6,3421.53,3423.4,3363.28,3352.18,3338.79,3394.59,3515.42,3370.69,3607.52,3629.9,3619.93,3601.65,3488.95,3565.72,3546.18,3549.52,3512.81,3561.23,3617.0,3589.92,3530.88,3692.08,3731.35,3590.7,3568.08,3524.06,3468.64,3356.48,3496.65,3464.46,3578.48,3495.24,3581.82,3531.14,3607.47,3507.52,3498.6,3439.22,3561.51,3420.49,3516.12,3688.98,3818.58,3832.26,3785.74,3802.58,3770.21,3760.14,3670.18,3834.28,3906.51,3645.89,3622.79,3799.14,3825.07,3741.71,3550.54,3512.59,3427.57,3378.79,3354.18,3346.75,3334.22,3292.79,3310.15,3197.8,3437.46,3565.34,3519.04,3525.65,3537.36,3629.79,3670.42,3844.52,3852.01,3885.34,3821.46,3916.43,4561.9,4709.61,4783.25,4723.46,4690.12,4521.22,4373.23,4448.93,4589.46,4640.79,4555.5,4760.82,5010.42,4991.99,4874.93,4725.54,4890.67,4844.19,5014.72,4976.12,5076.2,4914.69,5234.58,5195.04,5373.96,5132.21,5200.54,4923.01,4879.16,4916.89,4928.01,4741.23,4871.58,4847.97,4814.62,5477.44,5406.88,5543.17,5441.64,5708.18,5366.57,5648.53,5420.14,5180.41
15,Bronx,Three plus bedrooms,2647.5,3023.75,3450.0,3412.5,3531.25,3468.75,3367.5,2973.0,2700.0,2800.0,2600.0,2650.0,2648.5,2344.5,2500.0,2516.67,2381.25,2384.6,2399.7,2457.1,2389.0,2264.29,2321.58,2749.5,2608.33,2550.0,2550.0,2582.5,2912.5,2633.33,2571.88,2625.0,2826.1,2585.0,2608.9,2645.8,2631.25,2657.2,2537.64,2582.58,2718.3,3038.33,2615.0,2577.0,2565.67,2625.17,2572.0,2650.0,2499.17,2623.17,2583.0,2549.5,2663.57,2692.5,2466.17,2552.57,2491.86,2307.09,2367.19,2443.58,2387.86,2444.94,2485.31,2447.64,2457.85,2589.17,2638.17,2558.75,2486.75,2591.5,2610.6,2726.0,2919.25,2850.0,2850.67,2912.25,2883.33,2809.38,2726.5,2722.5,2751.88,2866.67,2801.17,2795.0,2831.67,2837.5,2800.0,2687.5,2680.0,2788.75,2757.17,2804.5,2943.62,2848.25,2795.71,2622.83,2913.5,2874.67,2968.5,2929.3,3000.0,3082.6,3436.5,3366.5,3386.88,3295.5,3318.88,3075.0,3203.67,3189.4,3264.75,3247.5,3290.0,3398.6,3483.0,3291.67,3625.0,3898.12,3475.75,3416.8,3425.0,3518.88,3617.0,3633.33,3620.83,3677.2,3945.8,3726.25,3796.88,3692.88,3750.0,3716.88,3640.25,3758.5,3780.4,3768.4,3778.0,3862.0,3925.0,4023.12,4178.12,3813.3,3864.0,3950.0
